Pressure,Centimeters,Density,Power,,
0.66,5.00,5.00E+08,2.00,,
0.66,9.50,9.50E+08,5.00,,
0.66,15.00,1.50E+09,10.00,,
0.66,21.00,2.10E+09,15.00,,
0.66,27.00,2.70E+09,20.00,,
1.00,6.00,6.00E+08,1.00,,
1.00,3.00,3.00E+08,2.00,,
1.00,19.00,1.90E+09,5.00,,
1.00,24.00,2.40E+09,10.00,,
1.00,27.00,2.70E+09,15.00,,
1.00,31.00,3.10E+09,20.00,,
3.00,11.00,1.10E+09,1.00,,
3.00,12.00,1.20E+09,2.00,,
3.00,29.00,2.90E+09,5.00,,
3.00,43.00,4.30E+09,10.00,,
3.00,56.00,5.60E+09,15.00,,
3.00,60.00,6.00E+09,20.00,,
6.00,18.00,1.80E+09,1.00,,
6.00,21.50,2.15E+09,2.00,,
6.00,48.50,4.85E+09,5.00,,
6.00,55.00,5.50E+09,10.00,,
6.00,76.00,7.60E+09,15.00,,
6.00,91.50,9.15E+09,20.00,, 
